# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
技術服務課 主管,專案管理主管,設備工程主管,技術支援主管,電子設備維修人員,CAD／CAM工程師,技術人員,電機維修人員,維修技術主管,電機技師／工程師,機電技師／工程師,順序調整
風場運維人員,理貨人員,倉管／物料管理員,資材人員,倉儲物流人員,服裝設計,技術人員,學徒,電機維修人員,電機技師／工程師,機電技師／工程師,順序調整
工程師,水電工程師,PLC／自動控制工程師,結構技師／工程師,土木工程師,電機工程主管,弱電工程師,通信維修人員,水電工,電機設備裝配員,機電技師／工程師,順序調整
【中山區】商辦機電副理/機電組長/水電設備維護技師(日班見紅休),電子設備維修人員,冷凍空調技術人員／安裝員,電機維修人員,PLC／自動控制工程師,機械加工技術人員,水電工,廠務,設備工程主管,水電工程師,機電技師／工程師,順序調整
夜班機電技術員(捷運板橋站-無經驗可)),機械加工技術人員,電機設備裝配員,電機技師／工程師,技術人員,電子設備維修人員,水電工,冷凍空調技術人員／安裝員,消防類相關人員,水電工程師,機電技師／工程師,順序調整
生產儲備幹部,智慧製程工程師,生管主管,電機技師／工程師,電機設備裝配員,模具技術人員,機械操作人員,機械加工技術人員,組裝組立技術人員,技術人員,領班／管理幹部,順序調整
繼光香香雞【京站門市】儲備副店薪資上看43600元!月休8-10天近捷運站,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,儲備幹部,店長／門市管理人員,基層管理幹部,餐飲主管,領班／管理幹部,順序調整
CNC車床人員,機械工程師,機械設計／繪圖人員,生產技術／製程工程師,模具技術人員,金屬模具技術人員,CNC車床人員,傳統車床人員,線切割技術人員,塑膠射出技術人員,塑膠模具技術人員,順序調整
模具師傅（可獨立作業）,CNC車床人員,電機技師／工程師,水電工,電機設備裝配員,機械加工技術人員,模具技術人員,金屬模具技術人員,壓鑄模具技術人員,鑄造／鍛造模具技術人員,沖壓模具技術人員,順序調整
冷卻水塔維修學徒(薪40000元起),CNC車床人員,水電工,汽車檢驗員,電機技師／工程師,電機設備裝配員,冷凍空調技術人員／安裝員,產品設備維修人員,電器產品維修人員,電機維修人員,學徒,順序調整
防水學徒.,水電工,水電工程師,砌磚工及砌石工,CNC車床人員,電機設備裝配員,防水施工人員,泥水工相關人員,營建雜工／粗工,營建工程人員,學徒,順序調整
天然氣配管–學徒,天然瓦斯配管技師/助理,CNC車床人員,機車維修人員,電機技師／工程師,電機設備裝配員,水電工,鉗工,焊接技術人員,營建雜工／粗工,學徒,順序調整
弱電相關工程人員(半技工/學徒可),水電工程師,機電技師／工程師,電子設備維修人員,電信／配線繪圖,IC佈局工程師,通信維修人員,電信／通訊系統工程師,弱電工程師,保全工程技術人員,學徒,順序調整
鐵工技術人員/學徒、半技師、技師(有無經驗皆可),CNC車床人員,壓鑄模具技術人員,機車維修人員,電機技師／工程師,放電加工技術人員,焊接技術人員,金屬建材架構人員,技術人員,機械加工技術人員,學徒,順序調整
病媒防治技術員（夜班）,水產養殖人員,電子設備維修人員,電器產品維修人員,電機維修人員,燈光技術人員,環保／環境工程師／技師,技術人員,公共衛生人員,包裝員／作業員,學徒,順序調整
病媒防治技術員,水產養殖人員,維修技術人員,電子設備維修人員,電器產品維修人員,電機維修人員,環保／環境工程師／技師,技術人員,公共衛生人員,包裝員／作業員,學徒,順序調整
【台南】病媒防治技術員,水產養殖人員,電子設備維修人員,維修技術人員,電器產品維修人員,雷射技術操作員,環保／環境工程師／技師,技術人員,公共衛生人員,包裝員／作業員,學徒,順序調整
鈑金折床技術人員,技術人員,電機設備裝配員,電機技師／工程師,雷射技術操作員,模具技術人員,鈑金技術人員,機械操作人員,金屬模具技術人員,包裝員／作業員,學徒,順序調整
技術學徒.,CNC車床人員,機車維修人員,壓鑄模具技術人員,雷射技術操作員,汽車檢驗員,電機設備裝配員,電機技師／工程師,技術人員,水電工,學徒,順序調整
配管配線技術人員/學徒/半技工,CNC車床人員,機車維修人員,機電技師／工程師,放電加工技術人員,壓鑄模具技術人員,技術人員,電機技師／工程師,水電工程師,水電工,學徒,順序調整
高抽成分紅；有經驗獎金60％；「成交獎金50％當月業績10萬領5萬，業績越多領越多」到職第二年調60％-工業土地、廠房、商辦專業顧問 ‧ 退休者、無經驗可、提供專業培訓課程,客戶成功經理,技術人員,國外業務人員,PLC／自動控制工程師,化學／化工工程師,不動產經紀人／營業員,電話行銷人員,保險業務員／經紀人,國內業務人員,汽車銷售人員,順序調整
魔菇部落-導覽銷售專員,產品企劃主管,國內業務主管,儲備幹部,廣告／行銷企劃主管,專案業務主管,店長／門市管理人員,門市／店員／專櫃人員,國內業務人員,內勤業務,,順序調整
電商網拍行銷人員,行銷企劃人員,電商行銷,廣告設計,廣告AE,商化人員,網站企劃人員,內勤業務,客服人員,社群經營人員,業務助理,順序調整
營業部-營運管理副組長(歡迎無百貨經驗人才),資材主管,資材人員,運輸物流類主管,客服主管,國內業務主管,基層管理幹部,售票／收銀人員,樓面管理人員,儲備幹部,業務助理,順序調整
彰化文書專員月薪 3.2萬-4.9萬,電腦操作／資料輸入,行政人員,秘書,財務／會計助理,排版人員,行政助理,檔案資料管理人員,內業工程人員,水電及其他工程繪圖人員,業務助理,順序調整
台南文書專員月薪 3.2萬-4.9萬,電腦操作／資料輸入,行政人員,秘書,排版人員,財務／會計助理,行政助理,檔案資料管理人員,內業工程人員,水電及其他工程繪圖人員,業務助理,順序調整
辦公室小幫手 月薪 29500元起,行政人員,電腦操作／資料輸入,秘書,生管／助理,採購助理,行政助理,檔案資料管理人員,內業工程人員,水電及其他工程繪圖人員,業務助理,順序調整
~擴廠徵才~廠務助理,生管／助理,廠務助理,保稅人員,軟體助理工程師,工程助理,倉管／物料管理員,廠務,採購助理,工務助理,業務助理,順序調整
內業文書處理,內勤業務,廣告文案企劃人員,客服人員,電話客服人員,票務人員／旅行社人員,內業工程人員,工程助理,工務助理,行政人員,業務助理,順序調整
資材助理,電腦操作／資料輸入,秘書,採購助理,行政人員,財務／會計助理,資材人員,廠務,生管／助理,行政助理,業務助理,順序調整
56 台北林森二餐廳 服務員(兼職),飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
249 台北北安餐廳 服務員(兼職),飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
149 林口中山餐廳 服務員(兼職),飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
269 淡水中山餐廳 服務員(兼職),飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
219 汐止大同餐廳 服務員(兼職),調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
6 台北光復餐廳 服務員(兼職),飯店／旅館服務人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
150 台北民生二餐廳 服務員(兼職),調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
133 新店北新二餐廳 服務員(兼職),調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
356 永和永安餐廳 服務員(兼職),飯店／旅館服務人員,侍酒師,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
428 三重愛買餐廳 服務員(兼職),調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
客服人員(福利優),資材人員,生管／助理,文字客服,客服主管,國貿人員,總機／接待／櫃檯人員,電腦操作／資料輸入,行政助理,客服人員,電話客服人員,順序調整
(日班)網路遊戲幣商客服,國貿人員,報關人員,文字客服,國外業務人員,空運／船務,客服人員,通路開發人員,行銷企劃助理,休閒娛樂事業從業人員,電話客服人員,順序調整
「無經驗可、有培訓」團隊派駐院區個人電腦助理工程師(臺北院區)-【JD-00000065】,室內設計助理,冷凍空調繪圖／設計,設計助理,軟體助理工程師,機械設計／繪圖人員,電腦組裝／維修,資訊助理人員,MIS工程師,FAE工程師,客服人員,順序調整
製圖工程師(請電洽約面試~）新鮮人可~,工業設計,PLC／自動控制工程師,智慧製程工程師,電機技師／工程師,CNC程式設計師,機械設計／繪圖人員,CAD／CAM工程師,工程助理,機械工程師,機構工程師,順序調整
助理工程師,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,光電／半導體工程助理,水電及其他工程繪圖人員,電機技師／工程師,電信／配線繪圖,機電技師／工程師,機械設計／繪圖人員,順序調整
機電消防 全職/點工/兼職 專業工務/保養技術人員,電子設備維修人員,水電工程師,PLC／自動控制工程師,消防專業人員,機械加工技術人員,消防類相關人員,電機維修人員,水電工,機電技師／工程師,電機設備裝配員,順序調整
"🚀【運營管理人員｜月薪45,000元起｜桃園中壢】🚀 ✨ 品牌行銷 × 直播數據分析 × 市場策略規劃 ✨",產品經理,產品企劃主管,醫藥業務代表,神秘客,國內業務主管,媒體公關主管,行銷企劃人員,電商行銷,社群經營人員,數位行銷人員,順序調整
網路行銷小編,行銷企劃人員,廣告／行銷企劃主管,產品企劃主管,國內業務主管,廣告AE,美編人員,平面設計,社群經營人員,網站企劃人員,數位行銷人員,順序調整
電子工程助理,冷凍空調繪圖／設計,室內設計助理,機械設計／繪圖人員,工程助理,設計助理,電子設備維修人員,SMT工程師,電信／通訊系統工程師,電腦組裝／維修,軟體助理工程師,順序調整
(研發部系統發展組)Project Assistant,機械設計／繪圖人員,冷凍空調繪圖／設計,設計助理,工程助理,CAD／CAM工程師,行政助理,技術文件／說明書編譯,英文翻譯／口譯人員,檔案資料管理人員,軟體助理工程師,順序調整
R2: AXI 系統軟體研發工程師 -243,韌體工程師,軟／韌體測試工程師,嵌入式工程師,IC設計工程師,RF通訊工程師,軟體工程師,系統工程師,前端工程師,系統分析師,數據分析師／資料分析師,順序調整
建築機電設計師,水電工程師,PLC／自動控制工程師,工業設計,土木工程師,機構工程師,水電及其他工程繪圖人員,建築繪圖／設計,電信／配線繪圖,機械設計／繪圖人員,機械工程師,順序調整
CNC電腦彈簧機操作師傅,CNC車床人員,水電工,雷射技術操作員,鍋爐相關人員,電機技師／工程師,機械加工技術人員,機械操作人員,技術人員,生產技術／製程工程師,機械工程師,順序調整
廠務人員,廠務助理,領班／管理幹部,工廠高階主管,鍋爐相關人員,CNC車床人員,技術人員,廠務,維修技術人員,產品設備維修人員,機械工程師,順序調整
弱電工程人員(學徒.半技.師傅),水電工程師,機電技師／工程師,IC佈局工程師,BIOS工程師,冷凍空調技術人員／安裝員,電子設備維修人員,通信維修人員,電信／通訊系統工程師,弱電工程師,學徒,順序調整
機電工程人員(無經驗可，薪40K),PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,機構工程師,工業設計,電機維修人員,產品設備維修人員,水電工,冷凍空調技術人員／安裝員,學徒,順序調整
